id,session_id,message,created_at
1,10000,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-01 10:00:00+00
2,10000,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-01 11:01:00+00
3,10000,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-01 12:02:00+00
4,10001,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-02 10:02:00+00
5,10001,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-02 11:03:00+00
6,10002,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-03 10:04:00+00
7,10002,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-03 11:05:00+00
8,10002,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-03 12:06:00+00
9,10003,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-04 10:06:00+00
10,10003,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-04 11:07:00+00
11,10003,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-04 12:08:00+00
12,10004,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-05 10:08:00+00
13,10004,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-05 11:09:00+00
14,10005,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-06 10:10:00+00
15,10005,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-06 11:11:00+00
16,10005,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-06 12:12:00+00
17,10006,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-07 10:12:00+00
18,10006,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-07 11:13:00+00
19,10006,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-07 12:14:00+00
20,10007,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-08 10:14:00+00
21,10007,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-08 11:15:00+00
22,10008,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-09 10:16:00+00
23,10008,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-09 11:17:00+00
24,10008,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-09 12:18:00+00
25,10009,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-10 10:18:00+00
26,10009,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-10 11:19:00+00
27,10009,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-10 12:20:00+00
28,10010,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-11 10:20:00+00
29,10010,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-11 11:21:00+00
30,10011,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-12 10:22:00+00
31,10011,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-12 11:23:00+00
32,10011,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-12 12:24:00+00
33,10012,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-13 10:24:00+00
34,10012,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-13 11:25:00+00
35,10012,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-13 12:26:00+00
36,10013,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-14 10:26:00+00
37,10013,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-14 11:27:00+00
38,10014,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-15 10:28:00+00
39,10014,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-15 11:29:00+00
40,10014,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-15 12:30:00+00
41,10015,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-16 10:30:00+00
42,10015,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-16 11:31:00+00
43,10015,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-16 12:32:00+00
44,10016,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-17 10:32:00+00
45,10016,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-17 11:33:00+00
46,10017,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-18 10:34:00+00
47,10017,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-18 11:35:00+00
48,10017,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-18 12:36:00+00
49,10018,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-19 10:36:00+00
50,10018,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-19 11:37:00+00
51,10018,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-19 12:38:00+00
52,10019,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-20 10:38:00+00
53,10019,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-20 11:39:00+00
54,10020,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-21 10:40:00+00
55,10020,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-21 11:41:00+00
56,10020,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-21 12:42:00+00
57,10021,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-01 10:42:00+00
58,10021,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-01 11:43:00+00
59,10021,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-01 12:44:00+00
60,10022,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-02 10:44:00+00
61,10022,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-02 11:45:00+00
62,10023,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-03 10:46:00+00
63,10023,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-03 11:47:00+00
64,10023,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-03 12:48:00+00
65,10024,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-04 10:48:00+00
66,10024,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-04 11:49:00+00
67,10024,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-04 12:50:00+00
68,10025,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-05 10:50:00+00
69,10025,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-05 11:51:00+00
70,10026,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-06 10:52:00+00
71,10026,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-06 11:53:00+00
72,10026,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-06 12:54:00+00
73,10027,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-07 10:54:00+00
74,10027,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-07 11:55:00+00
75,10027,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-07 12:56:00+00
76,10028,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-08 10:56:00+00
77,10028,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-08 11:57:00+00
78,10029,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-09 10:58:00+00
79,10029,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-09 11:59:00+00
80,10029,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-09 12:00:00+00
81,10030,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-10 10:00:00+00
82,10030,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-10 11:01:00+00
83,10030,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-10 12:02:00+00
84,10031,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-11 10:02:00+00
85,10031,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-11 11:03:00+00
86,10032,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-12 10:04:00+00
87,10032,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-12 11:05:00+00
88,10032,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-12 12:06:00+00
89,10033,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-13 10:06:00+00
90,10033,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-13 11:07:00+00
91,10033,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-13 12:08:00+00
92,10034,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-14 10:08:00+00
93,10034,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-14 11:09:00+00
94,10035,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-15 10:10:00+00
95,10035,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-15 11:11:00+00
96,10035,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-15 12:12:00+00
